id,uid,vtype,health_type,prove_pics,update_time
0,13296583,1,2,"56d18a0e,106b7e18",2021-09-01T14:57:12
1,13296583,1,1,"343437d9,cb7b7fc7",2021-09-01T14:57:14
2,31745562,1,6,0f89c272,2021-09-01T10:26:31
3,41636549,1,6,c872192b,2021-09-01T10:22:39
4,41636549,1,5,"bde60c35,d516bb46",2021-09-01T10:25:35
5,54398991,1,1,"ec093aa0,d5d9d2c5,a7428a57",2021-09-01T14:10:41
6,68053272,1,1,"03f5ad92,62df3e2c",2021-09-01T19:15:37
7,73365550,1,1,"f7b17915,c14f62a4,16581bf4",2021-09-01T20:52:08
8,83289427,1,1,"053879c4,e83752eb",2021-09-01T23:01:12
9,92954445,2,1,c0403ca8,2021-09-01T13:48:06
10,104212929,1,1,0938c277,2021-09-01T14:59:59
11,136478190,1,5,"3761bff4,342b8018,e8915fbb",2021-09-01T10:26:20
12,159952147,1,2,"2edc51b4,87aa1f6e,65c4b04f",2021-09-01T15:06:44
13,165269393,1,1,"b80366d4,79738d5f,9f47e3d9",2021-09-01T14:13:47
14,175834901,1,1,"d4c9a64a,be762d9b,b8c3dadd",2021-09-01T19:26:06
15,196105842,1,1,"b7c3c9a7,8ad97986",2021-09-01T14:45:22
16,224638716,1,1,"92b99615,c6d75978",2021-09-01T19:16:53
17,262442732,1,1,"831d218b,b9a47e74",2021-09-01T22:59:29
18,291953468,1,1,4d94dbac,2021-09-01T21:17:55
19,314283804,1,1,"a277629d,e24767d8,4af71c3c",2021-09-01T14:14:49
20,322497863,1,2,cecb7551,2021-09-01T20:49:54
21,327697588,1,2,"bfb5f028,a5857e94",2021-09-01T15:09:20
22,345361562,1,4,ce59ace6,2021-09-01T09:55:53
